"","CV<5%","CV<10%","CV<15%","CV<20%","CV<25%","CV<30%","CV<35%","CV<40%","CV<45%","CV<50%","CV<55%","CV<60%","CV<65%","CV<70%","CV<75%","CV<80%","CV<85%","CV<90%","CV<95%","CV<100%"
"Batch_1",32.4125230202578,65.1933701657459,81.767955801105,91.1602209944751,95.7642725598527,98.3425414364641,99.2633517495396,99.4475138121547,99.6316758747698,99.8158379373849,100,100,100,100,100,100,100,100,100,100
"Total",32.4125230202578,65.1933701657459,81.767955801105,91.1602209944751,95.7642725598527,98.3425414364641,99.2633517495396,99.4475138121547,99.6316758747698,99.8158379373849,100,100,100,100,100,100,100,100,100,100
