"","RSD"
"TAG.47.1_FA17.0..NH4",0.240352
"TAG.47.1_FA18.1..NH4",0.168066
"TAG.47.2_FA18.2..NH4",0.082835
"TAG.48.0_FA14.0..NH4",0.041675
"TAG.48.0_FA16.0..NH4",0.050231
"TAG.48.0_FA18.0..NH4",0.113094
"TAG.48.1_FA14.0..NH4",0.043004
"TAG.48.1_FA16.0..NH4",0.044557
"TAG.48.1_FA16.1..NH4",0.042426
"TAG.48.1_FA18.0..NH4",0.133499
"TAG.48.1_FA18.1..NH4",0.054384
"TAG.48.2_FA14.0..NH4",0.065737
"TAG.48.2_FA16.0..NH4",0.04324
"TAG.48.2_FA16.1..NH4",0.054293
"TAG.48.2_FA18.1..NH4",0.079167
"TAG.48.2_FA18.2..NH4",0.05655
"TAG.48.3_FA14.0..NH4",0.067953
"TAG.48.3_FA16.0..NH4",0.077068
"TAG.48.3_FA16.1..NH4",0.057972
"TAG.48.3_FA18.1..NH4",0.054173
"TAG.48.3_FA18.2..NH4",0.073477
"TAG.48.3_FA18.3..NH4",0.077098
"TAG.48.4_FA14.0..NH4",0.178846
"TAG.48.4_FA16.0..NH4",0.08657
"TAG.48.4_FA18.1..NH4",0.250604
"TAG.48.4_FA18.3..NH4",0.09453
"TAG.48.5_FA18.3..NH4",0.327241
"TAG.49.0_FA16.0..NH4",0.054935
"TAG.49.0_FA18.0..NH4",0.134452
"TAG.49.1_FA14.0..NH4",0.182357
"TAG.49.1_FA16.0..NH4",0.069979
"TAG.49.1_FA16.1..NH4",0.140671
"TAG.49.1_FA17.0..NH4",0.076085
"TAG.49.1_FA18.1..NH4",0.062985
"TAG.49.2_FA16.1..NH4",0.120713
"TAG.49.2_FA17.0..NH4",0.168299
"TAG.49.2_FA18.1..NH4",0.056371
"TAG.49.2_FA18.2..NH4",0.062528
"TAG.49.3_FA18.2..NH4",0.137745
"TAG.50.0_FA14.0..NH4",0.166443
"TAG.50.0_FA16.0..NH4",0.030708
"TAG.50.0_FA18.0..NH4",0.050967
"TAG.50.1_FA14.0..NH4",0.037378
"TAG.50.1_FA16.0..NH4",0.026948
"TAG.50.1_FA16.1..NH4",0.039603
"TAG.50.1_FA18.0..NH4",0.041588
"TAG.50.1_FA18.1..NH4",0.023747
"TAG.50.1_FA20.1..NH4",0.158536
"TAG.50.2_FA14.0..NH4",0.037174
"TAG.50.2_FA16.0..NH4",0.027647
"TAG.50.2_FA16.1..NH4",0.028432
"TAG.50.2_FA18.0..NH4",0.057528
"TAG.50.2_FA18.1..NH4",0.016306
"TAG.50.2_FA18.2..NH4",0.026508
"TAG.50.3_FA14.0..NH4",0.030525
