"","sample","batch","Adrenic(22:4)-H","Arachidonic(20:4)-H","CL (72:1_281.2)-2H","CL (72:1_283.2)-2H","CL (72:2_279.2)-2H","CL (72:2_281.2)-2H","CL (72:3_279.2)-2H","CL (72:3_281.2)-2H","CL (72:3_283.2)-2H","CL (72:4_279.2)-2H","CL (72:4_281.2)-2H","CL (72:5_279.2)-2H","CL (72:5_281.2)-2H","CL (72:5_303.3)-2H","CL (72:6_279.2)-2H","CL (72:6_303.3)-2H","CL (72:8_303.3)-2H","DHA(22:6)-H","DihomoLinolenic(20:3)-H","Docosanoic(22:0)-H","Docosenoic(22:1)-H","Elaidic_Vaccenic(18:1)-H","Hexacosanoic(26:0)-H","Lauric(12:0)-H","Lignoceric(24:0)-H","Linolenic(18:2)-H","LPC(14:0)+AcO","LPC(15:0)+AcO","LPC(16:0)+AcO","LPC(16:1)+AcO","LPC(17:0)+AcO","LPC(18:0)+AcO","LPC(18:1)+AcO","LPC(18:2)+AcO","LPC(18:3)+AcO","LPC(19:0)+AcO","LPC(20:0)+AcO","LPC(20:1)+AcO","LPC(20:2)+AcO","LPC(20:3)+AcO","LPC(20:4)+AcO","LPC(20:5)+AcO","LPC(22:4)+AcO","LPC(22:5)+AcO","LPC(22:6)+AcO","LPE(14:0)-H","LPE(16:0)-H","LPE(16:1)-H","LPE(17:0)-H","LPE(18:0)-H","LPE(18:1)-H","LPE(18:2)-H","LPE(18:3)-H","LPE(20:1)-H","LPE(20:2)-H","LPE(20:3)-H","LPE(20:4)-H","LPE(22:4)-H","LPE(22:5)-H","LPE(22:6)-H","LPG(16:0)-H","LPG(17:0)-H","LPG(18:0)-H","LPG(18:1)-H","LPG(18:2)-H","LPI(16:0)-H","LPI(16:1)-H","LPI(18:0)-H","LPI(18:1)-H","LPI(18:2)-H","LPI(20:3)-H","LPI(20:4)-H","Myristic(14:0)-H","Myristoleic(14:1)-H","Nervonic(24:1)-H","Palmitic(16:0)-H","PC(14:0_16:0)+AcO","PC(14:0_16:1)+AcO","PC(14:0_18:0)+AcO","PC(14:0_18:1)+AcO","PC(14:0_18:2)+AcO","PC(14:0_20:3)+AcO","PC(14:0_20:4)+AcO","PC(15:0_16:0)+AcO","PC(15:0_16:1)+AcO","PC(15:0_18:1)+AcO","PC(15:0_18:2)+AcO","PC(15:0_20:3)+AcO","PC(15:0_20:4)+AcO","PC(16:0_16:0)+AcO","PC(16:0_16:1)+AcO","PC(16:0_17:0)+AcO","PC(16:0_18:0)+AcO","PC(16:0_18:1)+AcO","PC(16:0_18:2)+AcO","PC(16:0_18:3)+AcO","PC(16:0_20:1)+AcO","PC(16:0_20:2)+AcO","PC(16:0_20:3)+AcO","PC(16:0_20:4)+AcO","PC(16:0_20:5)+AcO","PC(16:0_22:4)+AcO","PC(16:0_22:5)+AcO","PC(16:0_22:6)+AcO","PC(16:1_16:1)+AcO","PC(16:1_18:0)+AcO","PC(16:1_18:1)+AcO","PC(16:1_18:2)+AcO","PC(16:1_22:5)+AcO","PC(17:0_18:1)+AcO","PC(17:0_18:2)+AcO","PC(17:0_20:0)+AcO","PC(17:0_20:4)+AcO","PC(18:0_18:0)+AcO","PC(18:0_18:1)+AcO","PC(18:0_18:2)+AcO","PC(18:0_18:3)+AcO","PC(18:0_20:1)+AcO","PC(18:0_20:2)+AcO","PC(18:0_20:3)+AcO","PC(18:0_20:4)+AcO","PC(18:0_20:5)+AcO","PC(18:0_22:4)+AcO","PC(18:0_22:5)+AcO","PC(18:1_18:1)+AcO","PC(18:1_18:2)+AcO","PC(18:1_18:3)+AcO","PC(18:1_20:1)+AcO","PC(18:1_20:2)+AcO","PC(18:1_20:3)+AcO","PC(18:1_20:4)+AcO","PC(18:1_20:5)+AcO","PC(18:2_18:2)+AcO","PC(18:2_18:3)+AcO","PC(18:2_19:0)+AcO","PC(18:2_20:0)+AcO","PC(18:2_20:1)+AcO","PC(18:2_20:2)+AcO","PC(18:2_20:3)+AcO","PC(18:2_20:4)+AcO","PC(20:0_20:4)+AcO","PC(20:1_20:4)+AcO","PC(20:2_20:4)+AcO","PC(20:3_20:4)+AcO","PC(20:4_20:4)+AcO","PC(O-16:0_16:0)","PC(O-16:0_20:3)","PC(O-16:0_20:4)","PC(O-16:0_22:6)","PC(O-18:0_18:1)","PC(O-18:0_18:2)","PC(O-18:0_20:4)","PC(O-18:0_22:6)","PC(P-16:0_16:0)","PC(P-16:0_16:1)","PC(P-16:0_18:1)","PC(P-16:0_18:2)","PC(P-16:0_22:6)","PC(P-17:0_20:4) (a)","PC(P-18:0_18:2)","PC(P-18:0_20:4)","PC(P-18:0_22:5)","PC(P-18:0_22:6)","PC(P-18:1_18:1)","PC(P-18:1_22:6)","PC(P-20:0_20:4)","PE(14:0_20:4)-H","PE(15:0_18:0)-H","PE(15:0_20:1)-H","PE(15:0_20:2)-H","PE(16:0_16:0)-H","PE(16:0_16:1)-H","PE(16:0_18:1)-H","PE(16:0_18:2)-H","PE(16:0_18:3)-H","PE(16:0_20:2)-H","PE(16:0_20:3)-H","PE(16:0_20:4)-H","PE(16:0_20:5)-H","PE(16:0_22:4)-H","PE(16:0_22:5)-H","PE(16:0_22:6)-H","PE(17:0_18:0)-H","PE(17:0_18:2)-H","PE(17:0_20:0)-H","PE(17:0_20:1)-H","PE(17:0_20:4)-H","PE(17:0_22:4)-H","PE(18:0_18:0)-H","PE(18:0_18:1)-H","PE(18:0_18:2)-H","PE(18:0_18:3)-H","PE(18:0_20:3)-H","PE(18:0_20:4)-H","PE(18:0_20:5)-H","PE(18:0_22:4)-H","PE(18:0_22:5)-H","PE(18:0_22:6)-H","PE(18:1_18:1)-H","PE(18:1_18:2)-H","PE(18:1_18:3)-H","PE(18:1_20:1)-H","PE(18:1_20:3)-H","PE(18:1_20:4)-H","PE(18:1_20:5)-H","PE(18:1_22:4)-H","PE(18:1_22:5)-H","PE(18:1_22:6)-H","PE(18:2_18:2)-H","PE(18:2_18:3)-H","PE(18:2_20:3)-H","PE(18:2_20:4)-H","PE(19:0_20:4)-H","PE(20:1_20:2)-H","PE(20:3_20:4)-H","PE(20:4_20:4)-H","PE(O-16:0_18:1)-H","PE(O-16:0_18:2)-H","PE(O-16:0_20:3)-H","PE(O-16:0_20:4)-H","PE(O-16:0_20:5)-H","PE(O-16:0_22:5)-H","PE(O-16:0_22:6)-H","PE(O-18:0_18:3)-H","PE(O-18:0_22:5)-H","PE(P-16:0/16:0)-H","PE(P-16:0/16:1)-H","PE(P-16:0/18:0)-H","PE(P-16:0/18:1)-H","PE(P-16:0/18:2)-H","PE(P-16:0/18:3)-H","PE(P-16:0/20:1)-H","PE(P-16:0/20:2)-H","PE(P-16:0/20:3)-H","PE(P-16:0/20:4)-H","PE(P-16:0/20:5)-H","PE(P-16:0/22:4)-H","PE(P-16:0/22:5)-H","PE(P-16:0/22:6)-H","PE(P-18:0/16:1)-H","PE(P-18:0/18:0)-H","PE(P-18:0/18:1)-H","PE(P-18:0/18:2)-H","PE(P-18:0/18:3)-H","PE(P-18:0/20:1)-H","PE(P-18:0/20:2)-H","PE(P-18:0/20:3)-H","PE(P-18:0/20:4)-H","PE(P-18:0/20:5)-H","PE(P-18:0/22:5)-H","PE(P-18:0/22:6)-H","PE(P-18:1/16:0)-H","PE(P-18:1/16:1)-H","PE(P-18:1/18:0)-H","PE(P-18:1/18:1)-H","PE(P-18:1/18:2)-H","PE(P-18:1/18:3)-H","PE(P-18:1/20:2)-H","PE(P-18:1/20:3)-H","PE(P-18:1/20:4)-H","PE(P-18:1/20:5)-H","PE(P-18:1/22:4)-H","PE(P-18:1/22:5)-H","PE(P-18:1/22:6)-H","PE(P-18:2/18:2)-H","PE(P-18:2/20:4)-H","PE(P-18:2/22:6)-H","PG(16:0_18:1)-H","PG(16:0_18:2)-H","PG(16:0_20:2)-H","PG(17:0_20:0)-H","PG(17:0_20:1)-H","PG(18:0_18:1)-H","PG(18:0_18:2)-H","PG(18:1_18:1)-H","PG(18:3_20:3)-H","PG(18:3_22:4)-H","PI(14:0_18:0)-H","PI(15:0_17:0)-H","PI(15:0_18:1)-H","PI(15:0_20:2)-H","PI(15:0_22:4)-H","PI(16:0_16:0)-H","PI(16:0_16:1)-H","PI(16:0_20:3)-H","PI(16:0_20:4)-H","PI(16:0_22:4)-H","PI(16:0_22:5)-H","PI(17:0_18:1)-H","PI(17:0_20:0)-H","PI(17:0_20:1)-H","PI(17:0_20:4)-H","PI(17:0_22:6)-H","PI(18:0_18:0)-H","PI(18:0_18:1)-H","PI(18:0_18:2)-H","PI(18:0_18:3)-H","PI(18:0_20:2)-H","PI(18:0_20:3)-H","PI(18:0_20:4)-H","PI(18:0_22:4)-H","PI(18:0_22:5)-H","PI(18:0_22:6)-H","PI(18:1_18:1)-H","PI(18:1_18:2)-H","PI(18:1_20:3)-H","PI(18:1_20:4)-H","PI(18:2_20:5)-H","PI(18:3_20:3)-H","PI(18:3_20:4)-H","PI(18:3_20:5)-H","PI(19:0_20:4)-H","PS(17:0_18:1)-H","PS(17:0_20:0)-H","PS(17:0_20:1)-H","PS(17:0_20:2)-H","Sebacic(10:0)-H","Stearic(18:0)-H"
"1","batch01_M_P001",1,2497.496,4237.503,35.587,1.88,14.077,21.173,74.198,88.74,1.98,82.204,11.78,325.937,58.628,0.787,30.325,5.881,71.401,11830.073,1530.07,596.934,617.782,33186.64,680.949,83.25,9875.202,2249.204,129.517,141.928,20467.483,292.301,445.542,10890.318,3369.273,2900.592,38.644,27.858,32.856,66.087,73.748,240.421,292.102,10.567,10.261,29.682,31.504,0.745,335.932,5.132,7.852,422.064,139.416,201.02,3.055,2.026,1.958,10.916,38.854,3.4,5.755,6.812,2.825,0.194,8.491,8.193,2.858,17.54,1.449,127,21.559,21.781,8.809,17.643,54.503,449.269,692.077,14335.046,319.694,28.583,45.631,444.972,382.061,88.669,258.667,100.635,5.224,61.984,99.761,12.805,25.748,6530.293,1206.593,174.679,3513.245,24577.146,48281.363,524.823,267.647,1242.012,10139.472,13294.239,586.472,590.423,1357.336,2066.872,124.326,137.615,828.277,135.667,9.992,190.902,335.244,572.236,258.342,672.36,5324.691,28535.672,215.649,59.196,900.294,8179.156,14000.005,521.383,565.487,1087.11,2376.903,4576.85,36.573,57.612,127.154,1064.355,1568.666,72.788,1547.401,14.292,30.224,124.798,89.603,98.253,244.574,593.704,120.119,108.768,83.621,72.018,126.868,232.956,412.507,1661.095,70.647,540.806,1273.393,1495.749,141.116,325.253,53.493,1095.308,2414.162,152.909,416.397,1538.328,2681.675,153.781,136.085,131.846,26.298,208.018,1.029,9.722,6.187,8.634,5.488,5.946,110.332,212.782,3.371,6.589,26.233,118.752,4.217,17.327,38.574,77.127,10.133,4.301,251.337,53.8,7.98,5.776,110.384,1655.726,729.047,7.521,108.541,436.935,9.469,18.728,41.771,72.07,80.275,106.347,2.496,1.524,13.258,47.446,0.16,1.82,3.206,9.923,41.837,1.869,2.127,6.701,0.957,0.439,7.904,1.15,9.347,22.019,6.267,50.357,3.742,20.253,18.071,0.32,14.865,4.606,1.854,1.816,80.44,236.563,1.457,1.563,3.915,85.717,397.959,12.913,56.262,84.537,81.576,6.509,2.395,114.535,414.225,4.736,4.09,4.895,108.681,653.923,32.097,70.864,101.037,14.913,3.184,1.486,61.402,147.724,2.174,1.488,43.727,282.245,7.063,8.579,23.584,41.096,6.268,11.313,1.72,8.795,2.04,0.574,277.648,37.949,11.004,6.343,1.891,13.458,8.8,1.448,9.826,4.893,8.011,32.008,58.028,42.261,56.456,131.19,7.718,8.821,9.704,948.424,123.899,50.974,12.535,30.041,276.264,730.89,6.172,49.433,621.477,1669.928,29.897,35.544,8.312,163.504,80.263,23.377,50.594,16.56,19.911,14.15,8.264,17.578,340.996,1674.569,284.819,54.777,1333.273,6397.109
"2","batch01_F_P001",1,1176.996,1376.251,37.041,1.648,16.898,11.205,99.167,43.124,0.722,57.136,7.682,223.595,30.02,2.165,24.903,13.11,55.681,2167.201,796.072,356.65,371.581,17637.607,644.322,111.495,2768.181,1214.194,151.154,87.974,13092.461,319.769,189.094,4835.457,2350.166,3177.873,50.241,16.256,23.264,40.887,41.214,147.143,239.218,3.777,7.737,19.452,8.435,1.267,214.158,9.229,7.824,246.351,199.756,388.096,6.377,2.124,2.061,18.651,58.672,5.163,6.401,3.846,4.006,0.269,6.399,7.915,3.053,4.226,1.272,23.702,13.229,23.484,5.2,10.657,72.459,569.198,458.116,7395.99,414.877,59.668,53.952,533.517,630.638,53.557,63.399,111.002,6.1,80.999,119.778,10.29,27.845,7174.286,1247.038,102.529,3090.785,20024.5,51613.709,649.89,179.527,850.887,7485.101,14116.563,287.639,767.463,1350.111,922.576,146.667,107.998,804.878,203.19,7.328,112.858,309.658,499.3,203.968,500.112,3924.46,26322.149,245.082,69.569,479.025,5174.962,12970.075,373.519,610.648,900.919,2723.889,6365.584,74.225,58.092,181.501,1205.224,2452.096,62.026,2400.396,36.838,67.302,81.896,137.001,122.555,279.908,667.925,114.526,176.519,154.267,163.759,194.77,362.113,427.545,2327.137,60.142,268.83,1079.914,1684.134,72.765,251.489,62.535,997.283,2564.197,71.241,372.311,1607.906,3104.542,190.711,98.686,215.186,16.819,248.687,1.293,6.883,6.769,10.726,4.249,9.878,128.715,310.424,9.58,4.273,36.058,207.25,3.74,31.663,66.195,46.274,7.056,4.632,251.576,47.485,8.499,6.331,68.303,1310.667,791.258,10.774,119.2,574.908,10.218,22.024,47.56,31.792,138.516,224.421,5.498,3.149,23.171,110.15,2.494,3.577,7.224,7.798,51.941,2.255,4.211,13.369,1.009,0.998,6.618,1.352,9.219,29.673,6.892,74.727,4.142,43.312,12.067,2.459,20.065,3.089,1.856,0.855,53.245,167.44,2.795,1.966,2.819,40.093,306.345,5.839,70.657,109.814,42.372,4.3,1.242,69.008,296.818,4.225,2.086,3.242,59.732,441.487,10.732,67.399,40.658,9.496,2.639,1.164,33.6,109.027,2.496,1.128,21.128,209,3.315,13.886,21.952,17.22,8.794,16.553,0.152,11.326,4.439,1.374,279.302,38.009,6.875,5.603,2.082,15.931,8.308,1.693,13.153,2.598,13.488,31.008,56.798,37.654,63.629,157.914,13.607,35.536,15.442,942.667,117.922,60.355,5.733,32.742,290.085,1326.518,11.9,36.023,444.386,1703.192,34.367,47.446,6.937,287.289,203.123,26.091,96.897,18.424,20.676,14.159,8.984,13.946,805.032,1685.389,327.225,131.16,99.561,3555.746
"3","batch01_NAT_P001",1,1569.32,2021.263,57.211,3.787,20.078,27.257,108.568,124.855,2.493,108.966,21.158,437.78,94.301,1.218,51.449,14.475,90.294,4336.17,1147.287,1255.525,693.849,17065.287,1333.909,139.336,25210.846,1278.826,333.285,221.635,24836.259,686.689,504.1,10546.783,6002.26,6422.034,82.448,45.165,37.359,71.52,77.175,369.202,566.8,14.579,24.233,32.572,27.546,2.926,410.509,14.432,9.519,433.306,383.518,537.747,10.246,6.32,4.935,25.85,75.072,5.703,8.267,6.516,4.9,0.262,8.593,9.78,3.821,5.55,2.533,39.027,27.607,27.538,8.787,16.465,63.618,501.399,861.475,7030.544,658.772,72.517,105.135,1140.488,912.544,116.91,143.629,201.991,15.882,135.98,202.25,28.878,56.167,9043.225,1965.372,166.67,4020.384,39382.473,76157.038,865.168,349.203,1934.106,13891.859,23626.769,825.163,1063.509,2363.772,2531.49,148.886,193.525,1597.517,366.731,22.321,217.993,555.283,619.359,362.307,847.782,8177.796,36678.551,322.408,76.675,901.992,8596.583,22471.158,815.141,858.067,1539.748,5847.201,11278.849,134.192,70.559,415.027,2537.475,5246.236,184.05,3999.895,45.818,5.447,222.192,255.721,184.933,592.893,1444.331,306.582,360.259,256.238,298.352,402.915,510.343,683.097,3911.148,182.916,734.515,1995.95,3212.081,253.426,377.822,93.646,1783.373,4283.722,215.843,993.81,2359.116,5685.313,364.503,295.225,366.149,86.449,538.105,2.711,12.972,8.623,12.4,8.591,9.577,190.737,395.111,11.236,7.876,47.746,266.145,6.919,35.138,80.328,96.556,12.571,6.974,257.456,49.336,10.768,5.979,118.359,1978.933,1142.712,13.915,153.782,812.348,24.475,39.431,60.949,81.184,259.497,344.736,11.721,5.816,32.09,171.831,5.308,6.833,12.672,17.385,78.568,1.852,5.947,19.968,0.95,2.653,14.133,2.687,19.347,36.471,13.564,92.722,4.838,64.154,22.674,3.077,27.354,6.894,3.393,2.416,109.251,318.242,3.639,5.437,4.972,103.167,539.836,16.501,99.108,155.933,88.269,6.97,4.322,157.386,537.496,6.743,4.856,7.669,148.983,864.574,38.779,117.006,99.786,28.036,5.523,3.007,97.753,253.134,3.553,4.359,70.962,502.673,13.726,31.823,53.022,58.687,15.329,19.352,1.843,13.287,3.866,1.25,286.31,40.048,13.068,10.825,2.912,14.558,7.063,6.171,18.096,7.714,15.538,48.571,79.91,47.362,82.014,188.649,19.261,21.639,31.521,875.574,107.262,72.073,9.436,73.794,628.511,1302.228,13.029,78.223,784.44,2266.575,54.131,52.549,13.007,695.673,246.809,53.45,133.999,15.725,21.24,15.238,9.299,23.663,1442.375,1793.143,423.388,250.689,109.009,4848.108
"4","batch01_CHUV_P001",1,1175.74,1255.406,52.75,5.833,17.698,33.54,110.301,123.318,2.33,102.945,19.898,406.48,73.382,0.659,38.082,8.009,69.826,4533.931,764.105,908.968,466.809,7393.294,1557.101,68.446,9785.123,275.822,152.821,143.178,12866.56,218.273,296.717,5043.955,3013.939,5229.944,31.894,21.037,44.769,39.557,25.879,181.498,219.166,11.892,4.566,20.093,17.706,0.665,168.07,3.923,5.126,209.353,237.381,398.54,3.972,4.741,2.807,11.207,35.083,1.225,4.28,4.579,1.761,0.049,5.77,8.174,3.232,10.845,1.292,100.724,36.171,36.616,9.243,14.87,55.686,439.183,686.837,3294.73,384.762,34.376,76.63,640.92,663.706,58.072,227.877,277.07,11.618,116.172,224.319,57.585,64.113,7158.327,767.935,244.56,3305.899,27684.787,72647.742,326.43,297.686,1074.191,8652.857,13256.913,790.949,441.764,1618.409,2250.172,132.414,77.593,885.795,270.909,12.619,252.813,697.163,525.541,332.69,806.789,5555.867,30765.696,180.961,76.16,507.762,6106.512,12648.483,767.953,445.873,922.406,4161.864,9627.924,55.983,69.84,113.774,1134.329,2022.442,144.883,5209.315,32.006,62.287,248.494,150.195,117.943,365.717,690.073,301.972,160.107,128.493,138.565,239.345,339.313,623.565,2028.806,158.952,712.522,2047.75,2148.38,218.936,269.639,57.411,1277.896,3313.046,185.674,620.263,1782.927,3160.666,298.133,233.122,227.301,33.816,328.447,2.077,15.726,11.135,19.164,4.971,1.512,82.47,266.602,3.309,5.764,20.887,119.628,4.299,10.332,31.077,77.716,11.973,4.023,247.436,58.869,9.579,2.84,100.463,1664.62,923.304,10.325,95.643,406.933,17.734,12.306,43.807,62.206,188.622,285.346,3.364,3.159,14.002,61.528,1.728,1.963,5.609,11.864,82.823,1.023,1.308,10.394,1.826,1.415,9.817,0.687,11.405,27.188,13.597,58.876,6.552,35.909,14.276,0.79,21.146,5.929,2.368,3.275,119.216,295.118,2.099,3.762,3.374,102.469,380.037,29.055,42.993,140.369,75.102,6.687,4.022,155.28,480.604,7.504,4.573,7.365,140.376,601.714,68.194,98.51,90.833,21.617,3.692,2.464,83.984,183.274,1.271,1.871,52.206,265.995,21.927,11.187,31.201,40.345,11.081,8.635,2.476,7.231,1.872,0.967,278.744,37.417,10.143,6.581,1.547,13.778,6.621,3.161,6.843,11.048,12.128,40.97,40.307,25.144,69.111,142.519,5.362,16.126,31.476,901.687,119.046,64.212,5.886,68.39,641.405,1111.66,4.874,65.276,639.107,1663.07,34.046,56.755,15.593,549.891,296.902,28.699,65.443,13.469,15.812,15.596,6.991,21.182,1512.457,1739.466,403.25,263.585,82.013,2338.846
"5","batch01_M_P002",1,2536.121,4181.585,38.748,3.365,12.063,20.356,71.594,82.592,2.258,80.873,12.14,312.848,53.626,0.538,29.839,6.604,72.874,11973.276,1519.498,754.74,683.818,32961.623,688.623,79.452,10140.074,2272.626,125.492,127.309,21265.59,272.001,389.58,10527.115,3107.889,2834.451,32.282,23.421,34.847,46.934,49.552,247.647,303.489,13.877,15.42,27.192,18.025,0.246,339.85,4.351,7.72,420.924,136.984,198.354,3.1,2.348,2.407,12.707,37.502,2.962,6.322,7.117,2.654,0.313,8.538,7.77,2.219,19.686,1.476,125.653,20.392,21.231,11.343,18.767,63.57,527.901,705.436,14611.868,325.226,20.346,39.128,471.324,437.25,80.271,173.759,63.662,6.173,61.081,83.053,22.937,22.391,6049.384,1306.942,152.354,3491.577,26229.949,49892.674,510.111,248.494,1266.094,9813.305,12955.346,448.577,663.643,1198.464,1807.592,163.461,138.314,806.742,201.634,13.576,151.909,348.26,498.593,244.932,696.126,5683.456,30030.399,195.185,65.32,747.632,7593.493,13675.628,577.714,593.229,1104.618,2394.045,4425.169,35,59.686,156.916,997.311,1639.313,80.12,1603.51,15.865,48.584,92.542,104.962,133.016,221.705,595.884,107.63,101.759,86.695,123.571,179.895,236.196,404.556,1746.313,86.19,488.415,1351.504,1461.064,118.218,335.35,52.414,1119.426,2647,139.077,462.568,1497.673,2700.578,129.955,213.768,165.415,19.306,227.353,0.625,9.724,5.543,7.637,6.331,7.383,103.661,225.724,6.429,4.839,25.232,124.294,1.961,16.802,38.439,69.208,14.048,3.489,243.431,46.986,7.08,5.908,110.829,1629.996,714.617,7.958,111.143,401.864,18.852,22.935,40.59,69.226,76.953,105.4,2.547,1.432,8.416,38.707,1.075,2.082,5.717,7.123,37.524,1.514,2.268,9.547,1.794,0.932,5.506,1.5,11.872,22.263,7.742,43.899,2.687,22.511,16.075,1.172,14.075,3.871,2.427,3.198,87.191,247.598,1.632,2.304,3.763,78.751,402.391,10.126,56.262,97.427,92.202,5.076,3.363,104.431,391.15,3.639,2.571,5.906,103.459,640.967,25.075,65.904,98.386,15.995,2.766,1.406,56.629,135.614,1.563,2.165,38.315,269.571,10.297,10.863,19.98,42.162,7.897,14.52,1.435,8.466,1.92,1.027,259.798,37.897,12.343,6.534,1.383,15.305,7.319,1.176,11.943,4.299,7.315,29.48,51.962,38.562,60.477,128.172,5.489,9.014,10.796,911.939,107.95,52.557,5.611,34.743,277.374,787.81,4.773,47.764,589.678,1583.825,32.071,33.743,10.462,173.144,75.875,15.929,40.972,15.941,22.919,18.398,7.503,11.542,364.51,1675.456,329.958,52.621,1275.739,6376.483
"6","batch01_F_P002",1,1167.893,1409.968,40.133,1.783,19.684,14.676,101.934,47.859,0.538,58.251,6.43,238.48,31.578,1.394,23.417,14.152,57.448,2201.192,801.193,396.81,389.954,18691.591,658.973,118.68,2720.439,1276.381,150.716,105.747,12368.156,329.241,182.527,5089.733,2710.959,3410.166,44.935,12.518,25.242,27.89,44.151,158.865,267.652,6.044,13.485,18.074,11.583,1.636,229.408,11.272,9.311,244.417,200.127,381.969,6.615,2.986,3.153,17.859,56.11,4.081,6.678,5.101,3.718,0.491,6.132,8.907,3.846,4.088,1.24,23.784,12.667,24.91,4.94,11.511,61.733,548.629,459.377,7733.657,492.61,25.996,60.893,578.52,616.318,52.106,58.927,166.185,10.41,51.696,120.104,22.049,31.986,7858.207,1415.729,206.106,3243.154,20751.528,55399.241,676.252,191.174,885.671,7750.841,13904.192,359.609,771.431,1410.787,816.53,143.584,128.584,871.777,210.274,13.404,100.681,342.935,580.957,187.462,511.121,3824.921,27373.85,244.709,38.593,483.581,5333.873,13630.867,323.859,601.115,993.736,3044.975,6499.753,74.912,41.961,197.836,1259.27,2446.492,64.812,2539.629,42.803,56.014,103.458,153.016,121.317,271.579,765.244,121.949,223.346,171.628,150.342,277.097,396.248,358.025,2195.902,75.771,330.485,1212.928,1766.195,60.173,302.361,85.826,976.964,2922.745,78.591,391.332,1587.041,3138.876,207.71,95.455,213.158,12.786,279.447,1.099,6.726,5.953,13.211,6.638,10.955,129.509,304.851,10.005,6.458,38.976,222.742,3.525,33.21,68.71,46.648,6.29,6.419,251.409,56.07,5.824,5.901,68.803,1292.87,767.513,12.076,121.745,603.56,11.629,23.626,52.056,36.294,127.922,214.765,6.949,1.96,19.585,110.677,1.8,5.21,7.114,7.811,55.06,1.818,1.273,17.895,1.356,0.767,6.744,2.783,12.463,25.752,9.178,77.991,2.711,42.694,10.715,1.641,19.762,2.034,1.942,1.138,50.183,164.783,2.002,1.77,2.21,44.233,315.535,6.754,75.481,95.126,37.829,3.084,2.53,67.783,268.446,5.106,2.389,3.439,68.125,471.41,10.729,73.653,40.661,11.951,1.402,0.997,31.752,107.322,2.048,1.277,24.64,213.561,3.361,13.204,21.766,16.51,8.031,10.233,0.374,10.657,3.84,1.343,285.391,35.997,6.847,7.114,1.536,15.318,6.756,2.265,9.48,3.384,12.103,32.175,54.963,41.951,63.186,161.447,18.448,23.484,14.485,963.688,123.614,43.509,8.344,32.174,296.242,1232.959,9.907,44.448,439.712,1580.03,31.338,50.911,6.685,283.896,187.957,27.206,84.932,16.747,20.368,14.874,10.679,12.249,558.471,1689.157,313.827,88.083,114.177,3797.595
"7","batch01_NAT_P002",1,1520.666,1919.138,61.763,5.267,19.5,29.004,113.814,119.351,2.692,119.993,24.053,461.652,89.493,1.625,53.033,10.968,97.854,4296.139,1116.209,1146.214,702.425,16928.357,1274.98,133.258,23819.577,1203.549,306.001,212.732,23409.091,670.625,500.23,10246.89,6253.767,6335.854,104.625,44.056,41.931,84.055,115.524,382.885,591.396,22.944,24.069,48.388,17.978,3.581,396.593,16.782,8.955,441.269,385.832,532.095,8.108,6.831,4.62,27.919,76.727,5.432,9.162,7.758,3.45,0.152,9.696,9.943,4.544,6.327,2.644,40.899,29.796,26.902,10.132,16.596,80.828,661.283,855.412,6828.729,750.453,64.512,84.555,1108.397,959.038,148.718,137.086,234.924,12.495,125.185,217.251,31.477,71.395,9572.254,2037.343,215.249,4334.938,42085.083,80308.108,876.776,376.42,1656.59,13734.745,22682.426,868.982,1025.614,2316.857,2396.295,128.679,191.965,1823.603,389.92,25.659,255.782,558.699,568.075,408.096,929.452,7908.221,36471.578,246.665,88.796,931.28,8637.969,21678.389,707.498,759.97,1586.242,6227.948,11403.609,103.715,94.663,334.773,2616.276,5284.063,206.472,4481.699,97.707,51.59,183.39,187.081,244.851,457.122,1340.264,302.611,414.107,234.179,308.005,532.502,510.22,830.209,3749.686,174.093,779.798,1970.953,3035.513,251.804,397.043,102.588,1786.052,4313.186,210.391,887.804,2663.551,5667.284,286.01,248.307,337.872,89.925,549.969,2.671,16.146,8.353,12.574,9.504,11.222,191.128,392.591,10.732,7.871,52.48,288.917,5.504,30.22,82.513,110.161,12.775,8.39,248.448,53.858,12.67,4.215,120.748,2019.605,1126.565,16.235,180.352,775.224,20.262,40.124,81.008,76.395,282.167,374.59,8.938,8.108,30.431,178.135,5.251,8.255,14.564,23.992,83.735,2.268,4.449,22.091,1.868,4.185,18.608,1.239,16.753,37.439,13.307,96.558,2.991,59.956,25.757,2.223,34.651,5.725,4.554,3.205,116.905,309.204,6.367,3.286,4.429,101.434,531.45,16.148,98.651,189.587,92.047,7.13,4.254,157.716,555.698,7.88,4.34,7.644,147.047,925.784,38.749,130.123,110.585,27.394,5.459,2.962,97.95,253.147,3.982,3.606,68.523,515.051,19.58,28.63,56.821,55.067,12.371,23.649,1.686,14.996,3.52,1.288,284.044,39.847,12.148,10.833,3.72,16.702,8.422,6.99,22.093,7.256,16.4,47.714,86.764,53.817,111.446,200.716,20.372,36.442,31.96,896.856,121.204,89.109,12.596,74.07,716.819,1394.082,11.999,99.714,903.735,2508.08,59.739,74.932,17.126,743.714,285.582,72.063,179.544,14.062,19.858,18.682,14.318,31.443,1448.844,1636.119,344.802,221.892,103.299,4871.373
