name,batch01_CHUV_P001,batch01_CHUV_P002,batch01_CHUV_P003,batch01_CHUV_P004,batch01_CHUV_P005,batch01_CHUV_P006,batch01_CHUV_P007,batch01_CHUV_P008,batch01_CHUV_P009,batch01_CHUV_P010,batch01_CHUV_P011,batch01_CHUV_P012,batch01_CHUV_P013,batch01_CHUV_P014,batch01_CHUV_P015,batch01_CHUV_P016,batch01_CHUV_P017,batch01_CHUV_P018,batch01_CHUV_P019,batch01_CHUV_P020,batch01_CHUV_P021,batch01_F_P001,batch01_F_P002,batch01_F_P003,batch01_F_P004,batch01_F_P005,batch01_F_P006,batch01_F_P007,batch01_F_P008,batch01_F_P009,batch01_F_P010,batch01_F_P011,batch01_F_P012,batch01_F_P013,batch01_F_P014,batch01_F_P015,batch01_F_P016,batch01_F_P017,batch01_F_P018,batch01_F_P019,batch01_F_P020,batch01_F_P021,batch01_M_P001,batch01_M_P002,batch01_M_P003,batch01_M_P004,batch01_M_P005,batch01_M_P006,batch01_M_P007,batch01_M_P008,batch01_M_P009,batch01_M_P010,batch01_M_P011,batch01_M_P012,batch01_M_P013,batch01_M_P014,batch01_M_P015,batch01_M_P016,batch01_M_P017,batch01_M_P018,batch01_M_P019,batch01_M_P020,batch01_M_P021,batch01_NAT_P001,batch01_NAT_P002,batch01_NAT_P003,batch01_NAT_P004,batch01_NAT_P005,batch01_NAT_P006,batch01_NAT_P007,batch01_NAT_P008,batch01_NAT_P009,batch01_NAT_P010,batch01_NAT_P011,batch01_NAT_P012,batch01_NAT_P013,batch01_NAT_P014,batch01_NAT_P015,batch01_NAT_P016,batch01_NAT_P017,batch01_NAT_P018,batch01_NAT_P019,batch01_NAT_P020,batch01_NAT_P021,batch01_QC001,batch01_QC002,batch01_QC003,batch01_QC004,batch01_QC005,batch01_QC006,batch01_QC007,batch01_QC008,batch01_QC009,batch01_QC010,batch01_QC011
PE(P-18:1/22:4)-H,11.187,10.528,12.082,10.116,12.447,11.947,6.847,14.572,10.027,7.619,10,11.131,11.232,8.659,8.519,10.354,9.537,10.142,11.46,7.335,9.257,13.886,13.204,15.805,13.673,16.538,12.403,20.01,14.578,13.228,12.921,14.337,13.299,14.121,18.087,16.429,16.661,12.934,14.107,11.589,12.66,17.747,8.579,10.863,10.187,13.389,13.433,9.813,11.005,11.854,10.528,8.393,12.385,12.51,12.172,14.637,9.792,13.09,9.576,8.364,14.458,11.554,11.685,31.823,28.63,25.981,23.345,31.455,32.587,29.034,30.649,27.916,29.057,27.932,31.112,23.641,25.987,29.949,28.537,27.819,28.734,27.525,21.772,32.909,25.162,30.085,32.001,24.709,26.997,28.279,26.082,32.161,27.919,31.848,30.655
PE(P-18:1/22:5)-H,31.201,32.695,30.827,35.48,34.715,35.578,38.341,30.798,39.187,33.088,30.08,27.011,30.552,29.429,31.498,37.721,31.05,32.772,31.348,32.274,32.511,21.952,21.766,24.33,19.042,22.992,22.22,26.897,27.187,18.303,27.855,24.211,22.405,20.736,26.18,19.698,19.057,24.971,24.05,21.206,24.748,22.318,23.584,19.98,22.676,18.241,20.834,24.188,21.043,17.468,18.91,18.958,22.086,16.694,23.023,23.893,21.293,21.103,20.262,24.75,21.744,20.374,22.618,53.022,56.821,50.6,57.983,59.964,49.339,53.75,51.577,56.884,48.336,52.804,50.01,40.459,50.645,53.41,56.808,54.988,52.377,49.001,60.48,59.308,47.504,44.957,48.953,38.12,44.927,47.626,36.266,42.359,41.597,45.953,39.944
PE(P-18:1/22:6)-H,40.345,37.853,38.623,38.488,39.097,41.578,41.273,30.063,35.115,36.436,43.44,43.703,42.326,35.599,32.369,37.642,34.553,34.082,35.759,36.421,41.159,17.22,16.51,17.85,18.619,19.83,18.092,17.022,17.34,15.975,17.865,17.496,16.754,17.339,17.224,16.911,16.851,18.21,18.415,16.975,16.262,15.593,41.096,42.162,35.882,35.743,37.109,41.749,38.918,41.96,36.02,35.145,36.644,38.695,43.497,42.222,43.839,39.995,41.192,42.956,45.491,38.8,42.185,58.687,55.067,53.349,59.074,54.006,51.728,57.65,52.92,57.495,50.625,57.475,48.965,45.293,51.574,52.934,52.414,53.87,44.42,51.032,59.602,46.967,42.337,39.333,40.828,43.111,35.597,38.271,39.181,37.909,38.538,41.812,42.344
PE(P-18:2/18:2)-H,11.081,10.119,7.979,9.798,11.51,10.644,11.193,9.817,9.125,9.81,10.807,11.035,5.813,8.829,8.433,8.541,7.114,9.006,7.958,12.09,8.909,8.794,8.031,8.731,7.184,10.451,7.641,9.064,7.893,8.273,8.929,8.076,8.728,9.31,6.611,7.741,8.654,7.592,8.128,5.872,7.65,6.827,6.268,7.897,10.174,9.51,7.522,7.341,8.892,9.157,9.498,9.3,8.976,8.642,9.706,10.454,8.658,8.131,10.322,9.165,8.301,7.245,9.782,15.329,12.371,12.626,13.765,13.846,14.304,12.451,12.016,12.5,13.624,11.019,10.104,10.05,12.286,12.341,10.419,13.821,11.014,12.05,11.18,13.347,10.711,8.64,12.409,11.547,9.886,9.08,9.893,9.969,10.684,7.224,10.522
PE(P-18:2/20:4)-H,8.635,11.801,10.342,10.37,11.561,6.942,8.535,9.85,8.34,10.905,9.094,7.805,9.626,9.568,8.123,9.035,6.033,12.641,8.555,7.847,7.673,16.553,10.233,12.989,13.852,11.965,10.524,11.582,13.709,10.371,11.297,12.125,9.344,13.427,12.146,11.196,11.432,9.903,12.261,12.049,12.489,15.18,11.313,14.52,10.746,13.036,12.091,13.698,13.906,12.45,12.945,13.656,15.261,13.389,13.809,14.162,14.165,11.742,11.448,15.919,14.929,14.67,10.338,19.352,23.649,21.657,19.831,20.141,19.494,18.643,19.153,20.262,16.989,19.527,23.391,18.29,21.924,17.401,18.539,14.394,14.734,20.23,18.509,20.286,18.622,20.423,16.387,20.047,15.582,18.621,17.549,15.987,19.948,19.451,18.973
PE(P-18:2/22:6)-H,2.476,1.401,0.841,0.983,1.874,3.929,1.697,1.804,1.538,1.722,2.267,0.8,1.741,1.377,1.049,2.095,1.024,1.596,1.12,1.919,0.617,0.152,0.374,1.055,0.527,0.606,0.1,0.1,0.641,1.065,0.143,1.041,0.595,0.24,1.697,0.696,0.356,0.321,0.628,0.1,0.973,0.535,1.72,1.435,1.195,2.535,2.389,1.365,2.44,1.025,1.972,1.124,1.854,1.213,1.08,2.561,2.268,2.034,2.484,3.013,1.843,0.975,0.716,1.843,1.686,1.546,2.23,1.979,1.948,1.772,1.075,2.457,1.823,1.866,1.861,1.086,1.989,2.779,1.413,2.643,1.171,2.261,2.772,2.472,0.834,3.547,1.908,0.921,1.628,0.966,0.526,2.104,1.802,0.941,1.461
PG(16:0_18:1)-H,7.231,6.503,6.181,8.082,7.326,7.01,6.685,6.702,7.773,7.199,6.476,6.512,7.326,7.097,7.755,6.887,6.147,6.633,6.961,6.953,7.322,11.326,10.657,10.134,10.037,11.191,10.526,10.786,9.052,8.675,9.99,9.36,9.809,9.294,9.318,8.33,10.696,8.577,10.065,9.04,9.429,11.266,8.795,8.466,8.172,9.417,7.618,8.618,7.337,7.599,8.043,7.684,8.465,8.314,8.181,8.182,7.653,8.124,8.45,7.322,7.961,7.62,8.751,13.287,14.996,12.415,12.659,14.107,13.128,15.076,13.773,12.64,12.754,15.333,13.154,11.359,13.251,12.767,13.381,12.548,11.706,13.235,12.902,11.516,8.935,8.799,9.66,8.261,7.586,8.003,8.648,7.555,8.768,8.563,8.623
PG(16:0_18:2)-H,1.872,1.672,1.651,2.978,2.075,2.259,1.821,1.393,1.757,2.079,2.04,1.633,1.935,2.375,2.022,1.632,1.561,1.445,1.397,1.58,2.21,4.439,3.84,3.957,3.711,4.342,3.708,3.911,3.92,4.211,4.417,4.45,3.196,4.691,3.714,3.895,3.489,3.644,3.709,3.698,3.552,4.601,2.04,1.92,3.191,2.339,2.028,1.677,1.924,2.148,2.03,1.519,2.332,2.046,1.997,2.167,1.958,1.757,2.442,2.251,1.598,2.1,1.482,3.866,3.52,2.222,3.727,3.152,2.478,3.214,3.26,3.034,3.309,2.914,3.213,2.679,3.586,3.497,2.65,2.707,3.398,3.14,3.409,2.973,1.967,1.757,2.344,1.486,2.22,1.818,2.156,2.246,1.691,1.694,2.773
PG(16:0_20:2)-H,0.967,1.319,1.205,0.859,1.187,0.735,1.43,1.034,0.808,0.591,0.571,1.078,1.364,0.918,0.956,0.858,0.754,0.616,1.499,0.936,0.736,1.374,1.343,1.362,1.002,1.173,0.85,1.152,0.672,0.942,1.365,0.874,1.304,1.152,1.129,0.953,1.207,0.963,0.899,0.913,1.074,0.957,0.574,1.027,1.225,0.671,0.538,1.016,0.965,1.064,0.526,0.903,0.816,0.772,1.608,1.669,0.598,0.724,0.887,0.332,0.813,1.048,1.094,1.25,1.288,1.264,1.378,0.913,1.306,0.764,1.471,1.021,1.505,0.791,1.186,1.24,1.064,1.118,1.041,0.954,0.618,1.294,1.385,1.19,0.503,1.044,0.433,0.869,0.832,1.116,0.668,0.659,0.658,0.671,0.694
PG(17:0_20:0)-H,278.744,278.332,277.429,271.283,281.509,284.706,266.889,270.245,277.051,270.592,275.664,270.623,276.149,266.732,271.314,268.616,277.905,265.115,279.166,271.702,286.298,279.302,285.391,280.621,275.21,269.163,276.773,274.166,273.569,272.898,269.841,265.736,272.978,271.958,275.269,272.027,269.58,269.486,273.436,276.323,269.823,283.062,277.648,259.798,275.509,275.268,280.706,280.998,277.598,275.851,276.062,281.495,283.604,280.839,276.324,278.954,271.829,274.506,271.03,279.862,268.682,273.978,274.029,286.31,284.044,278.573,273.145,278.186,267.943,278.511,273.973,275.039,268.083,284.045,276.376,268.908,275.96,274.842,274.996,263.212,276.949,279.566,267.355,272.204,271.326,282.69,286.656,275.137,273.243,277.926,273.948,271.711,266.431,278.858,279.471
