name,batch01_CHUV_P001,batch01_CHUV_P002,batch01_CHUV_P003,batch01_CHUV_P004,batch01_CHUV_P005,batch01_CHUV_P006,batch01_CHUV_P007,batch01_CHUV_P008,batch01_CHUV_P009,batch01_CHUV_P010,batch01_CHUV_P011,batch01_CHUV_P012,batch01_CHUV_P013,batch01_CHUV_P014,batch01_CHUV_P015,batch01_CHUV_P016,batch01_CHUV_P017,batch01_CHUV_P018,batch01_CHUV_P019,batch01_CHUV_P020,batch01_CHUV_P021,batch01_F_P001,batch01_F_P002,batch01_F_P003,batch01_F_P004,batch01_F_P005,batch01_F_P006,batch01_F_P007,batch01_F_P008,batch01_F_P009,batch01_F_P010,batch01_F_P011,batch01_F_P012,batch01_F_P013,batch01_F_P014,batch01_F_P015,batch01_F_P016,batch01_F_P017,batch01_F_P018,batch01_F_P019,batch01_F_P020,batch01_F_P021,batch01_M_P001,batch01_M_P002,batch01_M_P003,batch01_M_P004,batch01_M_P005,batch01_M_P006,batch01_M_P007,batch01_M_P008,batch01_M_P009,batch01_M_P010,batch01_M_P011,batch01_M_P012,batch01_M_P013,batch01_M_P014,batch01_M_P015,batch01_M_P016,batch01_M_P017,batch01_M_P018,batch01_M_P019,batch01_M_P020,batch01_M_P021,batch01_NAT_P001,batch01_NAT_P002,batch01_NAT_P003,batch01_NAT_P004,batch01_NAT_P005,batch01_NAT_P006,batch01_NAT_P007,batch01_NAT_P008,batch01_NAT_P009,batch01_NAT_P010,batch01_NAT_P011,batch01_NAT_P012,batch01_NAT_P013,batch01_NAT_P014,batch01_NAT_P015,batch01_NAT_P016,batch01_NAT_P017,batch01_NAT_P018,batch01_NAT_P019,batch01_NAT_P020,batch01_NAT_P021,batch01_QC001,batch01_QC002,batch01_QC003,batch01_QC004,batch01_QC005,batch01_QC006,batch01_QC007,batch01_QC008,batch01_QC009,batch01_QC010,batch01_QC011
TAG(51:2_FA17:0)+NH4,103.121,104.889,111.683,111.238,114.084,106.997,105.222,112.567,97.073,107.477,104.676,97.658,102.726,116.984,104.178,99.49,114.061,128.267,107.562,104.989,93.48,92.172,100.489,124.563,135.208,107.014,108.324,138.882,126.74,99.568,112.351,114.266,103.759,108.5,113.435,120.446,118.298,125.32,131.001,114.757,124.063,94.874,230.413,209.616,196.569,207.776,233.56,234.245,219.759,187.426,200.692,224.223,190.513,213.567,194.757,228.495,243.024,219.374,188.799,274.509,250.093,198.822,215.641,202.315,231.245,191.673,224.669,177.163,264.316,215.984,206.556,214.15,186.235,228.55,211.208,146.156,226.821,255.63,208.546,201.885,201.784,221.802,237.981,183.96,113.804,131.347,124.377,131.392,129.697,136.899,113.351,134.669,121.458,123.176,126.707
TAG(51:2_FA18:1)+NH4,408.473,415.362,341.505,394.222,373.554,413.163,411.396,386.479,404.839,433.885,414.168,441.899,408.308,465.984,365.088,418.754,432.419,387.825,387.272,404.382,387.827,402.913,466.286,454.744,468.143,431.98,369.318,399.737,434.406,378.107,384.27,465.527,437.542,449.819,438.808,403.882,422.275,406.7,365.621,394.93,346.298,404.807,587.136,562.305,604.966,537.06,594.635,677.844,577.639,612.145,545.854,528.692,556.291,541.907,669.285,625.093,612.118,606.583,643.472,620.981,668.484,609.761,655.29,867.217,812.583,850.043,1022.793,828.405,912.384,832.115,822.183,941.245,799.393,810.811,869.024,735.822,850.006,863.352,807.939,792.748,812.388,795.754,953.335,815.954,407.399,446.258,465.858,406.381,413.599,380.508,399.647,401.198,398.295,370.57,406.799
TAG(51:2_FA18:2)+NH4,135.354,139.535,133.887,131.136,157.916,152.287,137.926,147.48,137.831,155.763,119.748,143.71,132.311,151.579,148.591,156.23,126.877,153.338,142.531,138.612,162.95,131.745,108.646,139.936,113.993,112.291,117.567,132.722,131.712,103.202,131.647,123.28,130.859,134.363,148.82,123.982,112.274,135.525,107.626,119.304,121.873,127.158,193.283,216.127,199.525,211.177,194.93,228.148,219.589,223.52,204.325,196.323,197.796,211.263,190.998,225.734,237.936,202.81,220.503,226.519,215,230.598,192.612,228.168,218.814,203.952,249.075,206.264,215.382,234.278,199.6,219.116,206.692,190.22,224.884,174.844,194.827,205.399,214.439,216.034,206.061,223.867,235.965,221.51,111.633,108.493,108.962,106.284,135.761,115.782,113.567,121.205,134.913,102.581,117.499
TAG(51:3_FA16:1)+NH4,17.24,20.453,19.385,23.266,19.747,19.733,26.278,26,23.505,24.671,19.002,18.495,17.924,20.746,21.124,17.503,15.374,22.618,17.113,25.044,22.229,54.648,44.769,54.235,46.899,38.117,43.279,49.308,40.375,44.884,38.49,41.836,46.756,45.636,37.749,54.21,42.997,43.845,40.982,32.191,35.421,32.351,61.64,55.068,66.269,67.589,73.324,72.214,71.79,69.153,54.296,75.009,63.821,70.856,75.285,86.452,47.977,75.581,76.26,77.023,91.067,67.792,74.299,64.417,95.502,71.488,86.646,60.726,74.417,72.002,67.272,64.222,73.118,93.129,68.05,56.475,85.808,92.528,81.136,63.223,59.925,72.029,91.887,63.469,51.654,59.865,59.444,58.814,53.799,54.901,52.361,58.494,46.426,58.043,43.237
TAG(51:3_FA17:0)+NH4,18.873,17.487,11.63,16.133,10.34,17.592,15.2,17.416,13.075,14.009,23.258,15.577,18.393,25.062,14.671,11.713,14.115,16.615,9.573,13.176,15.451,36.628,27.279,27.448,33.736,29.078,26.912,33.694,23.545,24.554,32.604,30.877,31.688,19.434,27.511,30.651,26.322,22.486,29.107,30.772,23.458,27.079,52.713,42.918,37.089,28.162,29.169,42.042,33.448,42.784,42.099,38.732,46.104,47.388,49.032,39.28,35.767,38.647,36.272,59.769,35.557,45.416,37.39,45.753,29.991,46.675,43.919,43.731,43.36,43.558,55.779,39.034,40.425,38.795,47.584,37.797,35.932,40.053,38.282,50.051,40.264,59.742,51.074,43.563,26.804,16.704,26.239,27.198,32.601,34.068,21.401,21.069,34.028,28.545,27.422
TAG(51:3_FA18:2)+NH4,239.48,271.733,260.646,278.915,278.038,303.197,276.821,293.822,291.706,280.727,260.323,282.483,243.634,268.25,268.882,259.2,256.932,313.152,268.257,263.498,261.118,219.8,269.763,234.722,215.743,237.384,244.58,246.915,241.608,210.311,242.477,260.125,225.039,286.122,262.809,253.269,235.02,248.327,247.02,213.884,219.511,232.275,352.462,351.411,335.268,337.621,345.311,340.313,286.465,344.668,301.466,362.198,351.314,363.873,383.317,358.157,373.886,364.46,323.546,337.621,355.93,316.151,366.173,347.055,345.013,336.649,458.199,381.402,393.373,413.16,335.974,427.83,391.2,377.384,371.267,285.743,381.54,352.857,377.198,319.938,356.674,391.614,400.942,357.551,191.975,211.993,265.405,224.157,211.111,224.391,190.36,198.482,227.256,214.585,199.608
TAG(51:3_FA18:3)+NH4,4.987,6.739,4.685,14.719,9.573,6.942,5.033,6.928,5.297,6.56,10.765,9.746,5.43,6.47,7.852,5.36,6.521,7.523,7.79,7.704,5.283,11.664,8.938,16.875,12.364,6.286,13.779,12.437,7.916,8.931,10.675,13.049,11.917,12.169,14.352,12.357,7.074,11.436,14.748,7.481,8.544,14.021,16.809,19.614,15.05,17.483,21.713,20.33,18.298,11.142,13.866,21.7,15.614,20.389,16.023,15.484,21.573,13.389,11.833,18.931,28.501,12.639,13.915,28.635,23.844,21.291,21.959,18.173,22.673,26.147,13.174,24.044,26.84,13.148,20.681,11.813,23.841,25.551,15.44,18.57,23.774,23.922,33.773,6.127,13.428,8.402,18.022,9.06,10.986,11.052,10.972,6.96,14.939,12.78,8.863
TAG(51:4_FA16:1)+NH4,7.451,8.439,4.016,5.548,9.891,6.56,10.472,8.678,7.121,6.128,7.928,9.714,6.697,4.102,9.808,5.146,5.76,10.938,9.699,4.856,11.912,19.536,20.731,15.564,18.858,15.651,13.747,17.672,13.723,18.409,16.782,13.374,6.108,18.576,15.77,11.213,17.241,17.244,16.15,15.903,13.07,18.876,21.392,24.266,24.551,18.158,27.889,26.326,17.026,34.635,21.513,27.548,19.245,15.403,16.748,24.266,31.229,22.247,25.491,33.606,41.23,24.745,27.544,33.714,22.781,31.1,35.469,20.84,31.618,37.323,23.435,28.135,15.997,23.366,19.451,21.314,24.739,26.657,28.76,18.014,22.3,29.569,37.055,23.77,20.302,16.225,19.902,15.412,13.88,19.484,12.86,10.864,22.679,13.487,12.244
TAG(51:4_FA18:2)+NH4,190.488,160.598,169.873,162.302,162.289,170.674,139.742,185.527,165.932,177.745,166.282,166.691,148.923,222.709,157.55,175.543,170.761,175.951,164.048,155.865,179.08,91.777,82.252,98.937,112.944,102.065,99.624,109.015,90.104,83.685,106.875,87.982,88.004,105.102,124.04,107.633,102.082,96.825,83.563,76.33,86.696,73.153,121.722,95.013,108.969,108.385,102.641,108.808,114.507,104.112,100.402,106.305,129.05,117.882,143.214,117.965,135.743,130.83,114.489,127.719,120.596,117.906,146.483,129.918,114.693,115.217,127.235,131.715,135.91,155.562,119.433,125.212,143.688,122.623,144.647,94.337,123.583,118.921,139.955,126.746,113.865,120.058,140.34,128.328,78.425,95.654,69.012,84.8,88.12,83.689,84.781,68.124,71.836,61.701,74.244
TAG(51:4_FA18:3)+NH4,16.267,19.843,21.803,24.297,17.797,13.403,20.171,16.741,16.894,18.231,22.49,26.799,19.054,20.06,21.938,16.15,11.613,16.179,25.535,18.002,18.562,23.459,23.799,28.44,25.924,28.889,37.586,26.294,23.348,26.95,31.321,34.387,26.72,24.12,28.289,16.082,27.009,23.467,31.558,22.505,25.006,20.41,25.551,41.256,29.334,35.192,38.158,33.565,34.242,32.088,42.562,32.952,32.709,29.029,23.928,36.055,32.203,36.921,30.665,17.801,57.305,46.661,33.567,42.746,49.288,42.703,37.605,36.659,39.624,56.401,36.085,37.106,41.453,39.716,47.259,37.218,51.703,40.336,41.643,43.966,36.074,38.821,38.595,38.437,21.633,21.977,23.03,27.965,23.871,31.899,20.277,20.968,25.146,27.354,20.803
