name,batch01_CHUV_P001,batch01_CHUV_P002,batch01_CHUV_P003,batch01_CHUV_P004,batch01_CHUV_P005,batch01_CHUV_P006,batch01_CHUV_P007,batch01_CHUV_P008,batch01_CHUV_P009,batch01_CHUV_P010,batch01_CHUV_P011,batch01_CHUV_P012,batch01_CHUV_P013,batch01_CHUV_P014,batch01_CHUV_P015,batch01_CHUV_P016,batch01_CHUV_P017,batch01_CHUV_P018,batch01_CHUV_P019,batch01_CHUV_P020,batch01_CHUV_P021,batch01_F_P001,batch01_F_P002,batch01_F_P003,batch01_F_P004,batch01_F_P005,batch01_F_P006,batch01_F_P007,batch01_F_P008,batch01_F_P009,batch01_F_P010,batch01_F_P011,batch01_F_P012,batch01_F_P013,batch01_F_P014,batch01_F_P015,batch01_F_P016,batch01_F_P017,batch01_F_P018,batch01_F_P019,batch01_F_P020,batch01_F_P021,batch01_M_P001,batch01_M_P002,batch01_M_P003,batch01_M_P004,batch01_M_P005,batch01_M_P006,batch01_M_P007,batch01_M_P008,batch01_M_P009,batch01_M_P010,batch01_M_P011,batch01_M_P012,batch01_M_P013,batch01_M_P014,batch01_M_P015,batch01_M_P016,batch01_M_P017,batch01_M_P018,batch01_M_P019,batch01_M_P020,batch01_M_P021,batch01_NAT_P001,batch01_NAT_P002,batch01_NAT_P003,batch01_NAT_P004,batch01_NAT_P005,batch01_NAT_P006,batch01_NAT_P007,batch01_NAT_P008,batch01_NAT_P009,batch01_NAT_P010,batch01_NAT_P011,batch01_NAT_P012,batch01_NAT_P013,batch01_NAT_P014,batch01_NAT_P015,batch01_NAT_P016,batch01_NAT_P017,batch01_NAT_P018,batch01_NAT_P019,batch01_NAT_P020,batch01_NAT_P021,batch01_QC001,batch01_QC002,batch01_QC003,batch01_QC004,batch01_QC005,batch01_QC006,batch01_QC007,batch01_QC008,batch01_QC009,batch01_QC010,batch01_QC011
LPC(P-17:0),283.325,296.047,290.577,300.229,285.543,281.065,284.533,283.105,280.258,277.174,282.165,272.386,259.762,286.63,281.433,286.868,293.451,291.474,292.891,293.868,289.714,396.508,391.125,384.35,384.941,360.327,375.244,373.384,394.42,385.738,398.718,371.481,386.807,388.301,392.942,380.359,378.068,372.932,381.195,377.914,380.273,388.911,352.003,363.444,354.569,345.26,352.901,363.761,362.438,353.432,350.989,355.32,343.274,363.252,356.661,363.56,349.924,357.067,363.738,363.176,351.815,353.87,366.509,574.293,568.607,540.225,545.865,552.341,537.606,541.718,548.31,546.878,549.945,533.799,543.357,550.937,536.447,550.089,539.995,538.842,556.949,563.978,543.155,556.464,612.329,661.304,626.695,629.818,612.812,601.308,650.027,619.463,581.146,612.494,627.038
LPC(P-18:0),358.351,387.209,382.745,383.557,376.922,370.237,379.479,374.687,364.354,361.562,367.73,355.989,347.244,372.729,381.737,382.98,389.263,386.763,397.441,397.587,396.041,254.401,251.953,249.564,247.829,232.025,235.958,241.382,257.065,248.23,259.126,235.672,251.1,244.205,255.55,245.416,247.377,246.843,245.072,245.586,248.904,252.952,508.025,526.955,507.693,498.871,502.391,534.269,533.038,514.404,508.591,506.723,515.228,528.425,521.677,529.098,514.072,515.433,524.02,528.891,525.487,521.6,531.515,372.022,364.651,355.047,351.48,355.23,353.011,366.65,363.716,356.052,362.906,348.509,352.266,358.572,351.156,360.352,349.539,356.715,360.735,369.942,356.03,361.824,284.162,309.116,297.888,305.726,293.818,290.656,311.382,300.884,284.429,305.696,303.951
LPC(P-18:1),11.793,12.514,12.306,12.42,12.993,12.645,12.85,12.707,12.392,11.506,12.09,12.63,11.826,11.874,11.855,12.241,12.78,12.597,12.695,12.963,12.779,11.434,11.504,11.142,11.4,10.48,11.131,10.091,10.795,11.639,11.689,10.366,11.549,10.366,12.014,11.032,11.122,10.818,11.413,11.167,10.722,11.077,19.755,21.461,21.109,20.565,21.853,21.83,23.218,21.26,20.878,21.349,20.568,21.867,21.372,22.732,21.206,21.899,22.39,22.172,21.139,21.716,21.913,16.251,16.554,15.256,15.281,15.699,15.57,15.092,16.187,16.254,16.14,15.102,15.673,16.575,15.357,15.52,14.792,15.312,15.897,15.872,15.712,15.868,11.923,13.421,13.565,14.239,13.436,13.062,14.295,14.083,12.457,13.756,13.784
MAG (14:0)+Na,47763.582,91560.322,53099.911,76654.335,57506.467,60177.618,73669.613,53197.605,73886.632,96905.558,58638.204,61039.913,117954.584,52524.063,65422.349,70186.88,78457.125,62966.677,133114.975,58571.725,89087.3,11552.616,22169.283,14176.267,18154.523,29600.043,9878.296,7583.301,27806.625,8278.965,10247.252,9571.303,7490.452,13949,10749.781,7709.354,14074.347,14280.865,10573.487,36859.493,14722.533,24144.906,130384.576,153980.131,125488.094,294591.077,390057.487,145150.403,98972.824,110960.435,146536.545,107292.331,209412.796,190257.002,92331.777,115214.341,148863.981,205134.755,359063.38,215535.905,386017.772,160422.994,175661.837,16188.383,39112.266,27155.712,21846.374,37496.486,14901.04,17480.419,13816.451,12130.622,21515.504,16595.622,21762.352,21453.044,18983.882,17136.765,59581.312,12962.959,25620.17,15857.475,33207.439,25664.192,11153.196,13713.541,13912.356,17338.46,9668.655,10787.605,10325.058,13788.834,18775.356,29592.074,48055.82
MAG (15:0)+Na,155672.617,315727.195,179672.415,253770.903,190395.28,212016.784,237071.96,199119.248,254431.146,296990.456,187298.091,191688.422,362217.314,154670.175,190740.527,216869.882,227274.249,208898.955,356488.282,163959.496,283866.123,104783.058,143266.002,99267.482,132729.207,216960.144,78534.988,82363.538,170730.961,88211.229,99664.364,80466.194,85541.579,106170.816,85026.492,73968.234,86701.151,117231.054,95193.7,256007.237,109638.676,184281.778,240639.539,336224.874,254461.58,604431.446,809896.845,304490.479,210681.707,226714.984,270387.197,229638.77,386950.358,348128.92,176216.828,227945.558,328747.99,342575.806,661585.862,405975.108,664574.828,307623.766,355246.093,146023.29,317863.119,255972.74,172179.64,373688.889,151120.212,148266.485,137246.211,145722.722,190960.09,153056.328,226882.706,178581.261,170524.683,182899.485,409127.758,124903.266,194648.721,163011.533,231180.548,255254.945,81481.731,146958.775,114225.311,148681.293,96122.489,87316.535,91238.136,123489.528,166200.208,227786.569,283498.306
MAG (16:0)+Na,21480.467,38068.03,19663.809,33442.889,23090.435,37901.931,38248.859,21166.533,33165.967,44688.875,23122.978,25289.791,52869.413,25130.017,28738.825,26203.393,28615.608,28263.85,60278.777,23253.922,44976.425,10089.176,20545.303,7774.479,19064.127,29745.67,9269.001,9317.319,24185.837,13398.183,16599.119,12443.916,15431.478,21089.752,10054.404,12516.36,16297.606,17622.491,16098.797,51597.795,16314.962,30522.406,24971.445,47711.838,25325.882,73763.544,105625.723,41722.727,27686.29,31123.319,33781.02,26799.973,66717.502,38461.413,25030.167,30103.934,38654.246,56804.128,88903.067,60226.98,99705.225,40802.049,43823.42,17495.426,28030.587,32494.417,21945.049,42368.358,13031.868,22820.509,9375.237,14025.461,27480.983,12769.722,25182.904,24390.192,14001.091,21851.416,52242.525,15945.267,32360.078,14834.148,27749.45,39393.222,10460.274,23377.438,10726.715,17697.546,12411.291,12882.955,12706.745,19498.499,32915.844,52995.906,50582.313
MAG (18:0)+Na,50278.964,92579.353,59027.959,78589.558,59683.003,65096.739,67620.609,63037.537,86698.879,90850.921,62691.46,56453.312,114349.933,53277.71,62323.616,68706.95,78176.751,56731.434,107961.159,52744.043,95902.225,14498.456,20132.127,15567.465,20585.971,45277.962,14156.912,12100.081,41470.474,16858.292,17262.831,10351.836,13503.017,19951.905,12994.258,16202.818,16431.458,19636.325,14360.19,39957.702,18041.821,25453.406,53162.944,69212.447,66810.658,132421.884,166281.099,62743.801,52860.644,54490.655,61306.957,54650.086,86154.866,88953.281,43643.348,50242.123,81781.218,88677.204,145894.915,91301.777,149349.081,62653.712,92311.936,22001.172,36516.941,38366.728,26383.343,57961.708,21413.233,20866.459,20726.799,25466.682,27324.873,21733.54,36025.548,21460.78,18086.999,28014.806,58080.113,17369.074,26218.455,22009.941,39748.392,35498.39,16704.573,27208.536,17620.335,16054.909,16338.589,11920.13,14472.068,21430.822,26053.348,34184.512,36686.572
MAG (18:1)+Na,28050.225,47448.46,23401.245,53917.369,26992.265,35339.775,29522.859,32477.221,41999.115,54657.69,30679.879,25388.651,52796.363,26494.924,27696.791,26743.413,41002.318,25157.464,57336.653,22134.544,42143.787,11307.544,20664.272,12073.558,16925.154,39528.136,10124.005,9141.951,24291.752,12233.098,12506.195,8084.837,9246.504,11274.335,10670.339,8433.981,10652.012,16640.306,9763.75,23252.211,8932.511,18495.722,30579.697,42147.373,24994.901,64395.682,80066.546,29311.295,22723.105,35461.227,26277.604,22090.951,39107.183,48025.367,27814.647,23231.706,30759.777,44990.055,52710.42,40713.553,80306.342,23637.83,39123.44,12861.458,30076.513,30031.636,23405.75,41879.578,18725.421,15829.046,11730.006,14082.285,21247.748,11221.537,26945.858,18061.722,15000.381,17251.34,56897.433,12805.17,24278.261,12204.935,19885.825,21360.719,8626.323,15801.977,18859.648,17551.004,9856.014,10893.91,14060.605,12733.128,20471.013,22227.826,32472.968
MAG (18:2)+Na,182382.165,383074.189,269919.757,309983.765,166521.503,216012.494,275645.785,129430.332,241034.048,392834.504,135370.073,186568.597,503382.519,176593.49,160690.407,205632.682,272388.821,203592.731,267336.348,178129.239,372124.228,202195.999,303477.515,173102.67,238913.608,575732.978,124903.709,123162.737,383895.03,131246.211,164701.663,96424.636,128417.16,144353.577,109100.269,113065.292,141263.732,173109.055,138967.832,472945.118,187599.326,298160.929,241206.483,367875.237,247900.94,654297.492,1034757.209,259848.163,149267.322,285800.897,170638.506,224450.725,495294.478,338318.909,162977.948,186849.993,292119.668,281648.241,606674.764,380050.421,844591.77,310200.781,344699.529,172884.341,419687.844,393791.802,210314.257,618243.194,171567.014,160262.737,117511.276,136526.506,197673.657,105363.912,224569.951,195740.937,133371.509,140698.203,488094.927,126511.238,234687.585,160533.493,282909.993,298604.336,97651.631,264586.574,228714.92,294686.614,117288.643,115064.542,139503.445,124365.245,284517.551,343459.302,464698.163
MAG (18:3)+Na,29365.574,88608.269,40177.605,67003.539,28443.792,43618.44,56068.451,27713.543,37293.856,94506.831,25094.84,29835.079,105371.163,22483.011,25024.805,36695.423,40210.445,34842.74,82140.13,24990.913,55460.401,25691.001,42092.82,25424.549,34868.66,61700.272,11561.828,5592.074,70533.808,7157.361,12657.17,13245.783,11170.756,12247.409,7117.815,9044.234,16909.574,12449.118,6459.887,90694.646,17955.31,50257.223,34657.803,50585.258,25261.062,124869.962,151580.692,35354.378,20366.757,42498.976,29509.53,23919.97,99583.87,39351.239,30001.134,24706.537,28261.707,68837.941,152347.333,53499.104,149974.446,59985.717,40325.132,26885.513,86352.7,81262.189,42935,131510.445,17305.595,22122.245,14305.55,13677.566,25056.826,19794.259,21442.237,25114.994,13281.135,19864.134,113013.082,14957.283,42465.643,26571.359,51686.319,36774.346,26190.644,58850.714,43073.393,61198.411,14554.088,15970.88,19318.225,25722.966,62033.919,94254.913,135201.9
