"","CV<5%","CV<10%","CV<15%","CV<20%","CV<25%","CV<30%","CV<35%","CV<40%","CV<45%","CV<50%","CV<55%","CV<60%","CV<65%","CV<70%","CV<75%","CV<80%","CV<85%","CV<90%","CV<95%","CV<100%"
"Batch_1",41.5094339622642,70.7547169811321,86.7924528301887,94.3396226415094,96.8553459119497,98.4276729559748,98.7421383647799,99.685534591195,99.685534591195,99.685534591195,99.685534591195,99.685534591195,99.685534591195,99.685534591195,99.685534591195,99.685534591195,99.685534591195,99.685534591195,100,100
"Total",41.5094339622642,70.7547169811321,86.7924528301887,94.3396226415094,96.8553459119497,98.4276729559748,98.7421383647799,99.685534591195,99.685534591195,99.685534591195,99.685534591195,99.685534591195,99.685534591195,99.685534591195,99.685534591195,99.685534591195,99.685534591195,99.685534591195,100,100
