"","CV<5%","CV<10%","CV<15%","CV<20%","CV<25%","CV<30%","CV<35%","CV<40%","CV<45%","CV<50%","CV<55%","CV<60%","CV<65%","CV<70%","CV<75%","CV<80%","CV<85%","CV<90%","CV<95%","CV<100%"
"Batch_1",21.7712177121771,55.9040590405904,74.169741697417,85.7933579335793,90.9594095940959,94.280442804428,96.309963099631,97.970479704797,98.3394833948339,99.2619926199262,99.4464944649446,99.6309963099631,99.6309963099631,99.8154981549816,100,100,100,100,100,100
"Total",21.7712177121771,55.9040590405904,74.169741697417,85.7933579335793,90.9594095940959,94.280442804428,96.309963099631,97.970479704797,98.3394833948339,99.2619926199262,99.4464944649446,99.6309963099631,99.6309963099631,99.8154981549816,100,100,100,100,100,100
