,RSD,
TAG.44.3_FA18.2..NH4,0.484505,48.4505
TAG.45.0_FA16.0..NH4,0.335589,33.5589
TAG.45.1_FA16.0..NH4,0.344984,34.4984
TAG.45.1_FA18.1..NH4,0.375156,37.5156
TAG.46.0_FA14.0..NH4,0.056198,5.6198
TAG.46.0_FA16.0..NH4,0.056925,5.6925
TAG.46.0_FA18.0..NH4,0.134213,13.4213
TAG.46.1_FA14.0..NH4,0.055027,5.5027
TAG.46.1_FA16.0..NH4,0.086428,8.6428
TAG.46.1_FA16.1..NH4,0.075756,7.5756
TAG.46.1_FA18.0..NH4,0.28087,28.087
TAG.46.1_FA18.1..NH4,0.079053,7.9053
TAG.46.2_FA14.0..NH4,0.112315,11.2315
TAG.46.2_FA16.0..NH4,0.073162,7.3162
TAG.46.2_FA16.1..NH4,0.125124,12.5124
TAG.46.2_FA18.1..NH4,0.131432,13.1432
TAG.46.2_FA18.2..NH4,0.112569,11.2569
TAG.46.3_FA16.0..NH4,0.206917,20.6917
TAG.46.3_FA16.1..NH4,0.183644,18.3644
TAG.46.3_FA18.2..NH4,0.208892,20.8892
TAG.46.3_FA18.3..NH4,0.144379,14.4379
TAG.47.0_FA14.0..NH4,0.16742,16.742
TAG.47.0_FA16.0..NH4,0.084606,8.4606
TAG.47.1_FA16.1..NH4,0.313034,31.3034
TAG.47.1_FA17.0..NH4,0.339361,33.9361
TAG.47.1_FA18.1..NH4,0.107041,10.7041
TAG.47.2_FA18.2..NH4,0.172335,17.2335
TAG.48.0_FA14.0..NH4,0.07582,7.582
TAG.48.0_FA16.0..NH4,0.059328,5.9328
TAG.48.0_FA18.0..NH4,0.068234,6.8234
TAG.48.1_FA14.0..NH4,0.053783,5.3783
TAG.48.1_FA16.0..NH4,0.062724,6.2724
TAG.48.1_FA16.1..NH4,0.054133,5.4133
TAG.48.1_FA18.0..NH4,0.129866,12.9866
TAG.48.1_FA18.1..NH4,0.057827,5.7827
TAG.48.2_FA14.0..NH4,0.052394,5.2394
TAG.48.2_FA16.0..NH4,0.067271,6.7271
TAG.48.2_FA16.1..NH4,0.071958,7.1958
TAG.48.2_FA18.1..NH4,0.076158,7.6158
TAG.48.2_FA18.2..NH4,0.061475,6.1475
TAG.48.3_FA14.0..NH4,0.086643,8.6643
TAG.48.3_FA16.0..NH4,0.090428,9.0428
TAG.48.3_FA16.1..NH4,0.103162,10.3162
TAG.48.3_FA18.1..NH4,0.080968,8.0968
TAG.48.3_FA18.2..NH4,0.077491,7.7491
TAG.48.3_FA18.3..NH4,0.10386,10.386
TAG.48.4_FA14.0..NH4,0.160304,16.0304
TAG.48.4_FA16.0..NH4,0.120617,12.0617
TAG.48.4_FA18.1..NH4,0.238622,23.8622
TAG.48.4_FA18.3..NH4,0.113038,11.3038
TAG.48.5_FA18.3..NH4,0.242256,24.2256
TAG.49.0_FA16.0..NH4,0.090596,9.0596
TAG.49.0_FA18.0..NH4,0.116007,11.6007
TAG.49.1_FA14.0..NH4,0.235236,23.5236
TAG.49.1_FA16.0..NH4,0.093507,9.3507
TAG.49.1_FA16.1..NH4,0.141055,14.1055
